Questão;Alternativa A;Alternativa B;Alternativa C;Alternativa D;Alternativa correta;Nivel de dificuldade;Dica
Qual foi a primeira linguagem de programação orientada a objetos amplamente utilizada?;FORTRAN;COBOL;BASIC;Smalltalk;D;1;Reflita sobre como essa linguagem influenciou o design e a organização do código nos programas modernos.
Qual empresa desempenhou um papel dominante na indústria de computadores nas décadas de 1960 e 1970?;Apple;Microsoft;IBM;Intel;C;1;Considere uma empresa histórica que foi sinônimo de inovação e desenvolvimento computacional durante o século XX.
Qual foi um dos primeiros aplicativos populares para computadores pessoais?;Edição de vídeo;Planilhas eletrônicas;Jogos online;Navegação na internet;B;1;Considere o aplicativo que facilitou o trabalho administrativo e a análise de informações comerciais.
Qual cientista da computação desenvolveu o conceito de compilador?;Ada Lovelace;Grace Hopper;Jean E. Sammet;Frances Allen;B;1;Reflita sobre a figura que transformou a maneira como os códigos eram escritos e traduzidos pelos computadores.
Em que país Alan Turing trabalhou no desenvolvimento de computadores durante a Segunda Guerra Mundial?;Estados Unidos;Alemanha;Reino Unido;Rússia;C;1;"Concentre-se no contexto em que o ""pai da informática"" atuou, ajudando a encurtar o conflito."
"Qual era a principal função das mulheres que trabalhavam em ""computação"" para o Exército dos EUA durante a Segunda Guerra Mundial?";Construir computadores;Vender computadores;Calcular trajetórias balísticas;Ensinar programação;C;1;Reflita sobre o papel estratégico desempenhado por essas mulheres na execução de planos de batalha.
"Que tipo de problemas matemáticos as primeiras ""computadoras"" resolviam frequentemente?";Cálculos balísticos;Cálculo diferencial;Teoria dos números;Álgebra abstrata;A;1;Considere o tipo de cálculos necessários para executar trajetórias de projéteis e mísseis.
Qual universidade teve um papel importante no início do desenvolvimento da computação nos Estados Unidos?;Stanford;MIT;Universidade da Pensilvânia;Caltech;C;1;Reflita sobre a instituição ligada à criação de protótipos e inovações que impulsionaram os primeiros computadores.
Qual foi um dos primeiros usos comerciais dos computadores após a Segunda Guerra Mundial?;Criação de jogos;Processamento de texto;Processamento de dados para censos e seguros;Controle de tráfego aéreo;C;1;Reflita sobre a aplicação em setores que exigiam a análise de informações de forma sistemática e rápida.
Descreva brevemente o papel das mulheres no projeto ENIAC.;Elas eram principalmente responsáveis pela manutenção do hardware.;Elas eram as principais programadoras, configurando e operando a máquina;Elas atuavam como gerentes do projeto.;Elas financiavam o projeto.;B;2;Pense na importância do trabalho manual de configurar e operar os circuitos e painéis da máquina para garantir sua operação correta.
Quem foi Grace Hopper e qual foi sua contribuição significativa para a programação?;"Uma matemática que trabalhou na NASA; cálculos de trajetória.";Uma física que desenvolveu a teoria da computação quântica.;Uma pioneira da programação que desenvolveu o primeiro compilador.;Uma engenheira que projetou os primeiros microprocessadores.;C;2;Considere como a criação do compilador permitiu que códigos escritos em linguagem humana fossem traduzidos para uma forma que a máquina pudesse entender.
Mencione um dos primeiros usos significativos da computação fora do contexto militar.;Criação de arte digital;Processamento de dados para o censo;Controle de robôs industriais;Comunicação global pela internet;B;2;Relembre que essa aplicação marcou a transição do uso exclusivamente militar para funções comerciais e governamentais.
Qual foi a importância do trabalho das mulheres na NASA durante a corrida espacial?;Elas construíram os foguetes.;Elas pilotaram as naves espaciais.;Elas realizaram cálculos matemáticos cruciais para as missões.;Elas gerenciaram o orçamento da NASA.;C;2;Reflita sobre como a precisão nos cálculos era vital para planejar trajetórias e garantir a segurança das missões espaciais.
Cite um exemplo de uma linguagem de programação inicial fortemente influenciada por uma mulher.;C++ (influenciada por Bjarne Stroustrup);Java (influenciada por James Gosling);COBOL (influenciada por Grace Hopper);Python (influenciada por Guido van Rossum);C;2;Considere a importância do COBOL para o desenvolvimento de sistemas comerciais e de negócios, tornando o processamento de dados mais acessível.
Como a Segunda Guerra Mundial impactou as oportunidades de trabalho para as mulheres na área da tecnologia?;Diminuiu as oportunidades devido ao retorno dos homens ao mercado de trabalho.;Criou novas oportunidades devido à necessidade de trabalhadores para substituir os homens.;Não teve impacto significativo.;Limitou as mulheres a funções administrativas.;B;2;Pense em como essa mudança abriu portas para a entrada das mulheres no campo da computação e do processamento de dados.
Qual foi a primeira conferência sobre software?;Primeira Conferência Internacional de Inteligência Artificial;Conferência sobre Linguagens de Programação para Máquinas Digitais;Primeira Conferência sobre Engenharia de Software;Simpósio sobre Sistemas Operacionais;B;2;Considere que esse encontro foi essencial para definir os rumos do desenvolvimento do software e estabelecer uma base para futuras inovações.
"Quem foram algumas das ""computadoras de Harvard"" e qual era seu trabalho?";Um grupo de engenheiras que construíram o Harvard Mark I.;Um grupo de físicas que estudaram a radiação cósmica.;Um grupo de matemáticas que realizaram cálculos complexos para projetos científicos.;Um grupo de astrônomas que mapearam as estrelas.;C;2;Reflita sobre como o apoio das mulheres nos cálculos ajudou a estabelecer a precisão e a confiabilidade dos dados científicos da época.
"Explique o conceito de ""programação"" nos primeiros dias da computação.";Era muito semelhante à programação moderna, com linguagens de alto nível.;Envolvia principalmente a configuração física das máquinas através de painéis de plugues e chaves.;Era feito exclusivamente por engenheiros de hardware.;Limitava-se à entrada de dados em cartões perfurados.;B;2;Considere que, inicialmente, programar não era escrever código, mas sim ajustar manualmente os circuitos e painéis para definir operações específicas.
Qual foi o papel das mulheres no desenvolvimento de sistemas operacionais iniciais?;Elas não tiveram nenhum papel significativo.;Elas estavam envolvidas em algumas das primeiras implementações e conceitos.;Elas lideraram o desenvolvimento dos primeiros sistemas operacionais.;Elas eram apenas usuárias dos sistemas operacionais;B;2;Pense em como a contribuição das mulheres ajudou na definição de funcionalidades essenciais que tornaram os sistemas operacionais mais amigáveis e funcionais.
Descreva a contribuição de Jean E. Sammet para a história da computação.;Ela inventou o transistor.;Ela desenvolveu a linguagem de programação FORMAC.;Ela liderou o projeto Apollo.;Ela fundou a Microsoft;B;2;Pense na importância de inovações que ajudam a expandir os horizontes do que os computadores podem fazer, contribuindo para o avanço técnico e científico.
Como a popularização dos computadores pessoais afetou a participação das mulheres na área?;Aumentou imediatamente a participação feminina em todas as áreas.;Inicialmente não levou a um aumento significativo e, em alguns aspectos, pode ter havido um declínio relativo na área técnica.;Diminuiu drasticamente a necessidade de programadoras.;Tornou a área exclusivamente dominada por mulheres;B;2;Pense em como a profissionalização da área pode ter influenciado a visibilidade e a manutenção da participação feminina em determinados setores da tecnologia.
Mencione um desafio que as mulheres enfrentaram ao entrar no campo da computação em seus primeiros anos.;Falta de interesse em tecnologia.;Excesso de oportunidades de emprego.;Preconceito de gênero e a percepção de que era um campo masculino.;Salários muito baixos.;C;2;Reflita sobre a importância de superar barreiras históricas para que o talento e a competência sejam valorizados independentemente do gênero.
Qual foi a importância do software para o sucesso dos primeiros computadores?;O hardware era suficiente para realizar todas as tarefas necessárias.;O software era essencial para tornar os computadores úteis para uma variedade de aplicações.;O software era apenas uma ferramenta opcional.;Os primeiros computadores não utilizavam software.;B;2;Pense em como o desenvolvimento de softwares dedicados transformou os computadores em ferramentas versáteis, capazes de atender diversas necessidades.
Descreva brevemente o trabalho de Katherine Johnson com a NASA.;Ela foi uma astronauta pioneira.;Ela projetou os foguetes Saturn V.;Ela realizou cálculos críticos de trajetória para as missões espaciais.;Ela administrou o programa espacial americano.;C;2;Reflita sobre a importância da precisão matemática para o sucesso das missões, garantindo trajetórias seguras para as naves espaciais.
Qual foi o impacto da linguagem COBOL no mundo dos negócios?;Limitou o uso de computadores a aplicações científicas.;Facilitou o desenvolvimento de software para aplicações comerciais.;Tornou a programação empresarial muito complexa.;Não teve impacto significativo.;B;2;Considere como o COBOL permitiu que os computadores fossem usados para administrar processos financeiros, contábeis e administrativos, modernizando o mundo dos negócios.
Quem foi Adele Goldberg e qual sua contribuição para a interface gráfica do usuário?;Uma matemática que trabalhou na criptografia.;Uma cientista da computação que desempenhou um papel fundamental no desenvolvimento da GUI.;Uma física que estudou a interação homem-computador.;Uma matemática que trabalhou na criptografia.;B;2;Relembre como as interfaces gráficas revolucionaram a forma de interação com os computadores, tornando-os mais acessíveis a um público amplo.
Explique a diferença entre hardware e software nos primórdios da computação.;Hardware era o código e software eram as máquinas.;Não havia distinção clara entre os dois.;Hardware eram os componentes físicos e software eram os programas e instruções.;Software era mais importante que hardware.;C;2;Pense em como esse entendimento permitiu o desenvolvimento sistematizado de computadores, com cada parte contribuindo para o funcionamento global da máquina.
Qual foi o papel das mulheres no desenvolvimento de bancos de dados iniciais?;Elas não tiveram nenhum papel.;Elas estiveram envolvidas no desenvolvimento de alguns dos primeiros conceitos e sistemas de gerenciamento de informações.;Elas lideraram o desenvolvimento de todos os primeiros bancos de dados.;Seu papel se limitou à entrada de dados.;B;2;Considere como a organização e o tratamento estruturado dos dados foram fundamentais para o avanço dos primeiros bancos de dados, atribuindo-lhes confiabilidade e eficiência.
Qual foi a organização inicial que promoveu a participação de mulheres em áreas científicas e tecnológicas?;Mensa;Sociedade Real;Association for Women in Science (AWIS);Clube de Xadrez dos Estados Unidos;C;2;Pense na importância de redes e associações que oferecem suporte, mentoria e oportunidades para que mulheres possam crescer e se destacar em campos tradicionalmente dominados por homens.
"Analise o impacto do trabalho das mulheres no projeto ENIAC além da simples ""computação"".";Elas apenas executavam os cálculos designados pelos engenheiros homens.;Elas desenvolveram muitas das técnicas fundamentais de programação, documentação e resolução de problemas de software.;Seu trabalho se limitou à operação da máquina, sem influenciar o desenvolvimento futuro.;Elas eram responsáveis pela manutenção mecânica do computador.;B;3;Pense em como essas técnicas pioneiras contribuíram para que futuras gerações pudessem padronizar a resolução de problemas em sistemas complexos.
Como a linguagem COBOL, influenciada por Grace Hopper, moldou a computação empresarial?;Tornou a programação empresarial mais complexa e inacessível.;Facilitou o desenvolvimento de software para aplicações de negócios, tornando a computação mais relevante para o setor empresarial.;Teve um impacto limitado, sendo rapidamente substituída por outras linguagens.;Foi utilizada principalmente para aplicações científicas.;B;3;Reflita sobre o impacto do COBOL na transformação dos processos administrativos e na gestão de dados empresariais.
"Compare e contraste os papéis das ""computadoras humanas"" e dos primeiros programadores de computador.";Ambos os grupos realizavam exatamente as mesmas tarefas com as mesmas ferramentas.;"As ""computadoras humanas"" realizavam cálculos manualmente, enquanto os programadores instruíam as máquinas a fazer os cálculos.";"Os programadores eram exclusivamente homens, enquanto as ""computadoras"" eram exclusivamente mulheres.";"As ""computadoras"" trabalhavam apenas com dados numéricos, enquanto os programadores trabalhavam com dados textuais.";B;3;Reflita sobre como essa divisão de tarefas representou um marco na evolução dos processos computacionais.
Avalie os desafios enfrentados pelas mulheres que buscavam carreiras em ciência e tecnologia durante o século XX.;Elas não enfrentaram desafios significativos se fossem talentosas.;Os principais desafios eram a falta de interesse pessoal e de habilidades.;Elas enfrentaram preconceito de gênero, expectativas sociais limitantes e falta de oportunidades.;Elas eram preferidas para cargos técnicos devido à sua atenção aos detalhes.;C;3;Reflita sobre exemplos históricos em que barreiras culturais e institucionais dificultavam o desenvolvimento profissional feminino.
Explique como o trabalho das mulheres na NASA contribuiu para os sucessos do programa espacial americano.;Seu trabalho era puramente administrativo e não afetou diretamente as missões.;Seus cálculos precisos de trajetória foram cruciais para o planejamento e a execução segura das missões espaciais.;Elas eram principalmente responsáveis pelas relações públicas da NASA.;Seu papel se limitava ao apoio logístico.;B;3;Reflita sobre como os resultados desse trabalho ajudaram a construir a confiança na tecnologia para explorar o espaço.
Discuta a evolução do papel da mulher na computação desde a Segunda Guerra Mundial até o surgimento dos computadores pessoais.;Seu papel permaneceu estático ao longo desse período.;"Inicialmente fortes como ""computadoras"" e programadoras, sua participação diminuiu em algumas áreas com a profissionalização e a mudança de percepção para um campo mais masculino.";Houve um aumento constante e linear da participação feminina em todas as áreas.;As mulheres sempre dominaram o campo da computação.;B;3;Pense na transição do contexto de guerra para a era comercial e como isso afetou oportunidades e papéis.
"Analise as razões pelas quais a programação era inicialmente vista como um trabalho ""feminino"".";Era considerado um trabalho de alto status e bem remunerado, atraindo muitas mulheres.;Era visto como um trabalho detalhado e minucioso, alinhado aos estereótipos de habilidades femininas da época, e havia necessidade de preencher essas funções com a saída dos homens para a guerra.;Os homens não tinham interesse em programação nos primórdios da computação.;As mulheres tinham uma aptidão natural para a lógica da programação.;B;3;Considere os valores culturais e os estereótipos da época que associavam precisão e seguir instruções a atributos femininos.
"Como a mudança na percepção da computação de ""trabalho de escritório"" para ""engenharia"" afetou a participação das mulheres?";Aumentou a participação feminina, pois engenharia era vista como um campo mais aberto.;Contribuiu para uma diminuição relativa da participação feminina, pois engenharia era estereotipicamente vista como um campo masculino.;Não teve impacto significativo na participação das mulheres.;Levou à criação de mais oportunidades de liderança para as mulheres.;B;3;Reflita sobre a influência das mudanças de status e reconhecimento no acesso das mulheres a funções puramente técnicas.
Qual a importância das contribuições de mulheres como Jean E. Sammet no desenvolvimento de linguagens de programação?;"Suas contribuições foram insignificantes para o desenvolvimento de linguagens.";Mulheres como Sammet expandiram as aplicações da computação para além dos cálculos numéricos, alcançando áreas como manipulação simbólica.;O desenvolvimento de linguagens de programação foi exclusivamente um esforço masculino.;As primeiras linguagens de programação eram muito simples e não exigiam grandes contribuições.;B;3;Reflita sobre como o desenvolvimento de novas linguagens abriu portas para aplicações diversas, de negócios à educação.
Qual foi o impacto da falta de reconhecimento nas contribuições das mulheres para a história da computação?;Não teve nenhum impacto negativo.;Obscureceu seus feitos e pode ter contribuído para a perpetuação de estereótipos de gênero e a falta de modelos femininos para as gerações futuras.;Na verdade, levou a um maior reconhecimento das mulheres na ciência.;Incentivou mais mulheres a entrar na área para buscar reconhecimento.;B;3;Reflita sobre a importância do reconhecimento para mudar percepções e promover a diversidade na tecnologia.
Como o desenvolvimento de interfaces gráficas do usuário (GUI) influenciou a acessibilidade da computação?;Tornou os computadores mais intuitivos e fáceis de usar para um público mais amplo.;Não teve impacto na acessibilidade;Tornou os computadores mais complexos e difíceis de usar.;Limitou o uso de computadores a especialistas técnicos.;A;3;Pense na transição de sistemas operacionais complexos para interfaces amigáveis que permitiram o uso por leigos.
Qual o papel das mulheres no desenvolvimento dos primeiros sistemas operacionais e suas características?;Elas não tiveram nenhum papel no desenvolvimento de sistemas operacionais.;Seu papel se limitou ao teste dos sistemas operacionais.;Elas lideraram o desenvolvimento de todos os primeiros sistemas operacionais importantes.;Mulheres estiveram envolvidas em algumas das primeiras implementações e na definição de funcionalidades essenciais dos primeiros sistemas operacionais.;D;3;Considere a importância dos testes e da implementação dos primeiros softwares operacionais para a evolução da área.
Como o surgimento da indústria de software mudou as oportunidades para as mulheres na computação?;Criou novas oportunidades como desenvolvedoras, testadoras e gerentes de projeto, mas também trouxe novos desafios relacionados à cultura da indústria.;Diminuiu as oportunidades, pois a indústria se tornou mais competitiva.;Não teve impacto significativo nas oportunidades para as mulheres.;Abriu apenas oportunidades para mulheres em funções não técnicas.;A;3;Reflita sobre como a transformação do setor influenciou tanto a oferta quanto a natureza das oportunidades de trabalho.
Qual foi o impacto das primeiras redes de computadores (como a ARPANET) no trabalho das mulheres na área?;Isolaram as mulheres do fluxo principal da pesquisa e desenvolvimento.;Facilitaram a colaboração e o compartilhamento de recursos entre pesquisadores, criando novas formas de trabalho e pesquisa que envolveram mulheres.;Não tiveram nenhum impacto específico no trabalho das mulheres.;Limitaram o acesso das mulheres a informações importantes.;B;3;Considere a importância da comunicação e do compartilhamento de informações na modernização dos sistemas.
Como as contribuições de mulheres como Katherine Johnson foram cruciais para a precisão em cálculos complexos?;"Seus métodos de cálculo eram mais rápidos, mas menos precisos que os dos homens.";Seu trabalho se limitava à verificação dos cálculos feitos por outros.;Sua atenção aos detalhes e profundo conhecimento matemático garantiram a exatidão dos cálculos essenciais para missões críticas.;A precisão de seus cálculos não era mais importante que a velocidade.;C;3;Pense na importância da meticulosidade e do conhecimento especializado para superar desafios técnicos complexos.
Analisando criticamente a narrativa histórica da computação, em destaque, como as contribuições das mulheres foram frequentemente marginalizadas ou invisibilizadas?;A narrativa histórica sempre reconheceu plenamente as contribuições das mulheres.;As contribuições das mulheres foram marginalizadas devido à sua menor participação na área.;Não há evidências de que as contribuições das mulheres tenham sido marginalizadas;"A narrativa frequentemente se concentra no hardware e em figuras masculinas, obscurecendo o papel crucial das mulheres como as primeiras programadoras e desenvolvedoras de software.";D;4;Reflita sobre a importância de revisar fontes históricas para reconhecer todas as contribuições, independentemente do gênero.
Discuta a interseccionalidade das questões de gênero com raça e classe social no acesso e nas oportunidades na área da computação ao longo da história.;Gênero foi a única barreira significativa para o acesso à computação.;Raça e classe social não tiveram impacto no acesso à computação.;Mulheres de diferentes raças e classes sociais enfrentaram barreiras únicas e sobrepostas que afetaram seu acesso e oportunidades na computação.;Mulheres de todas as origens tiveram as mesmas oportunidades na computação.;C;4;Reflita sobre casos históricos que evidenciem a necessidade de políticas inclusivas que considerem múltiplas dimensões da identidade.
Qual foi o impacto da profissionalização da programação no status e na participação das mulheres na área?;A profissionalização aumentou o status da programação e atraiu mais mulheres.;"A profissionalização pode ter contribuído para uma diminuição relativa da participação feminina, à medida que a área se tornou mais associada a habilidades ""masculinas"" e a estruturas de poder dominadas por homens.";A profissionalização não teve nenhum impacto na participação das mulheres.;A profissionalização tornou a programação mais acessível a todos.;B;4;Pense em como a redefinição de “exigência técnica” e de cultura corporativa impactou o perfil dos profissionais da computação.
Explore as razões pelas quais, apesar de terem um papel inicial significativo, a representação feminina na computação diminuiu em certas fases de sua história.;As mulheres perderam o interesse pela computação com o tempo.;A diminuição se deveu exclusivamente a fatores biológicos;Não houve uma diminuição significativa na representação feminina.;"Mudanças na percepção da computação, estereótipos de gênero, cultura de trabalho excludente e falta de modelos podem ter contribuído para essa diminuição.";D;4;Considere como transformações culturais e profissionais podem reconfigurar a participação de grupos historicamente relevantes.
"Analise o legado das primeiras programadoras e ""computadoras"" no desenvolvimento das práticas e da cultura da computação atual.";Elas estabeleceram muitas das práticas fundamentais de programação, documentação e resolução de problemas que ainda são usadas hoje.;Seu trabalho não teve influência no desenvolvimento posterior da computação.;"A cultura da computação moderna é completamente diferente daquela dos seus primórdios.";Seu legado se limita aos primeiros computadores e não se estende à computação pessoal ou à internet.;A;4;Pense em como os métodos estabelecidos naquela época formaram a base das metodologias modernas.
Discuta como a construção social do gênero influenciou a percepção das habilidades e aptidões para a computação.;A construção social do gênero não teve impacto na percepção das habilidades.;Ela levou à percepção de que as mulheres eram naturalmente mais aptas para a computação.;Ela contribuiu para estereótipos que associavam a lógica, o raciocínio abstrato e as habilidades técnicas como inerentemente masculinos, desencorajando a participação feminina.;Ela sempre promoveu a igualdade de gênero na área da tecnologia.;C;4;Considere como a sociedade definiu papéis específicos que influenciaram tanto a escolha de carreira quanto o reconhecimento de habilidades.
Avalie o papel das políticas educacionais e das instituições de ensino na promoção ou na limitação da participação feminina na computação.;A educação sempre foi neutra em relação ao gênero na área da computação.;Políticas e instituições podem ter tanto promovido quanto limitado a participação feminina através de currículos, oportunidades de financiamento, representação de modelos e cultura institucional.;As instituições de ensino sempre incentivaram igualmente a participação de homens e mulheres.;Políticas educacionais não têm influência na escolha de carreira.;B;4;Reflita sobre a necessidade de adoção de práticas que incentivem a inclusão desde os primeiros anos de formação.
Analise criticamente o impacto da cultura popular e da mídia na representação das mulheres na ciência e na tecnologia.;A cultura popular e a mídia sempre retrataram as mulheres na ciência e tecnologia de forma precisa e inspiradora.;As mulheres sempre foram as protagonistas nas narrativas sobre ciência e tecnologia.;A representação na mídia não tem impacto na percepção pública ou nas escolhas de carreira.;Frequentemente, a mídia perpetuou estereótipos de gênero, sub-representando ou marginalizando as mulheres na ciência e tecnologia.;D;4;Considere exemplos de representações midiáticas que reforçaram ou desafiaram os estereótipos tradicionais.
Discuta as implicações da sub-representação feminina na computação para o desenvolvimento tecnológico e a inovação.;A sub-representação não tem impacto no desenvolvimento tecnológico.;A tecnologia desenvolvida por homens sempre atende às necessidades de todos.;A homogeneidade de gênero leva a uma maior inovação.;A falta de diversidade de gênero pode levar a tecnologias que não atendem igualmente às necessidades de todos os usuários e podem perpetuar vieses.;D;4;Pense em como equipes diversas podem gerar soluções mais abrangentes e sensíveis às demandas de um público heterogêneo.
Avalie o papel das redes informais e das comunidades de mulheres na sustentação e no avanço das carreiras femininas na computação.;Redes informais e comunidades não têm importância para o avanço na carreira.;Apenas o talento individual é importante para o sucesso na carreira.;Elas podem fornecer apoio, mentoria, networking e um senso de pertencimento, ajudando a superar barreiras e avançar nas carreiras;Redes exclusivas de mulheres são prejudiciais para a igualdade de gênero.;C;4;Reflita sobre como o apoio comunitário pode criar oportunidades de crescimento e visibilidade para as profissionais.
Analise as mudanças nas linguagens de programação e nas metodologias de desenvolvimento sob uma perspectiva de gênero.;Algumas abordagens podem ter sido mais inclusivas ou exclusivas, refletindo as necessidades e perspectivas dos desenvolvedores dominantes na época.;A evolução das linguagens e metodologias sempre foi neutra em relação ao gênero.;As mulheres sempre lideraram o desenvolvimento de novas linguagens e metodologias.;Não há nenhuma conexão entre gênero e o desenvolvimento de linguagens de programação.;A;4;Considere como o design e a evolução das linguagens podem ter refletido os privilégios ou preconceitos culturais da época.
Discuta como a evolução do hardware e da arquitetura dos computadores impactou as habilidades e os conhecimentos necessários para trabalhar na área.;A evolução do hardware tornou todas as habilidades de programação obsoletas.;Ela exigiu uma adaptação constante de habilidades, e diferentes fases podem ter favorecido diferentes conjuntos de conhecimentos, influenciando quem tinha acesso e sucesso na área.;O conhecimento de hardware sempre foi irrelevante para a programação.;A evolução do hardware simplificou a computação a ponto de não exigir habilidades especializadas.;B;4;Pense na forma como o avanço dos componentes físicos exigiu uma atualização contínua dos conhecimentos técnicos dos profissionais.
Avalie o impacto da globalização e da terceirização na distribuição de oportunidades de trabalho em tecnologia para mulheres em diferentes partes do mundo.;A globalização e a terceirização sempre beneficiaram igualmente as mulheres em todos os lugares.;Elas podem ter criado novas oportunidades para algumas mulheres, mas também podem ter levado à exploração e à desigualdade em outras regiões.;Apenas os homens se beneficiaram da globalização e da terceirização na tecnologia.;A distribuição de oportunidades de trabalho em tecnologia permaneceu inalterada pela globalização.;B;4;Considere como a dinâmica global do trabalho pode beneficiar ou prejudicar grupos em contextos socioeconômicos variados.
Analise criticamente as estratégias e iniciativas atuais para aumentar a diversidade de gênero na computação, considerando seu contexto histórico.;Muitas estratégias atuais buscam corrigir desigualdades históricas e abordar os desafios persistentes que as mulheres enfrentaram ao longo da história da computação.;As estratégias atuais são completamente novas e não têm relação com o passado.;As iniciativas atuais são desnecessárias, pois a diversidade de gênero já foi alcançada.;As estratégias atuais são apenas para fins de relações públicas e não têm impacto real.;A;4;Reflita sobre quais medidas têm sido mais eficazes e os desafios remanescentes na promoção de uma cultura verdadeiramente inclusiva.
Quais as possíveis conexões entre a falta de diversidade na computação e os vieses algorítmicos observados em algumas tecnologias contemporâneas?;Não há nenhuma conexão entre diversidade e vieses algorítmicos.;Apenas os dados tendenciosos causam vieses algorítmicos, não a falta de diversidade nas equipes.;A falta de diversas perspectivas no design e desenvolvimento de algoritmos pode levar à criação de sistemas que perpetuam ou amplificam vieses existentes.;Algoritmos desenvolvidos por equipes homogêneas são sempre mais objetivos.;C;4;Considere como a homogeneidade no desenvolvimento pode limitar a identificação e a correção de falhas nos sistemas.
"Com base em pesquisas recentes, quais as evidências que sustentam a tese de que a programação era inicialmente vista como uma extensão do trabalho de secretariado e, portanto, ""feminina""?";Não há evidências que sustentem essa tese.;As mulheres foram as primeiras a rejeitar a programação como uma profissão.;A programação sempre foi vista como uma disciplina altamente técnica e masculina.;As evidências sugerem que as habilidades valorizadas na programação inicial (detalhe, paciência, seguimento de instruções) eram estereotipicamente associadas ao trabalho feminino de escritório.;D;5;Pense em como a atribuição de tarefas tidas como “menos valorizadas” historicamente pode ter moldado a percepção do que seria um trabalho técnico na época.
"Quais as implicações da teoria do ""pipeline com vazamentos"" (leaky pipeline) para a compreensão da perda de talentos femininos na área da computação ao longo da carreira, considerando fatores históricos e contemporâneos?";"A teoria do ""pipeline com vazamentos"" é irrelevante para a computação.";Ela ajuda a explicar como barreiras persistentes ao longo da carreira, algumas com raízes históricas, contribuem para a diminuição da representação feminina em níveis mais altos.;A perda de talentos femininos se deve apenas à falta de interesse.;A teoria se aplica apenas a áreas tradicionalmente femininas.;B;5;Considere como fatores em diferentes estágios da carreira (desde a entrada até cargos executivos) podem levar à saída gradual de profissionais talentosas.
De modo critico, quais as diferentes abordagens teóricas (por exemplo, teoria do capital humano, teoria da identidade social) para explicar a sub-representação feminina na computação, considerando suas limitações e pontos fortes no contexto histórico?;Algumas teorias podem focar excessivamente em escolhas individuais, negligenciando fatores estruturais e históricos que moldaram as oportunidades e percepções.;Todas as teorias explicam perfeitamente a sub-representação feminina.;As teorias sociais são irrelevantes para explicar fenômenos na área da tecnologia.;Apenas fatores biológicos explicam a sub-representação.;A;5;Reflita sobre os pontos fortes e as limitações de cada abordagem para compreender como elas podem (ou não) explicar integralmente a situação encontrada na área.
